Target Distance:1,Step Size:100
0 : Mover object mode is invaild
After 1 steps, thr mover has the following location:
9568 : (x,y) = (3.40884,59.8919)

9569 : (x,y) = (4.40704,59.9518)

9570 : (x,y) = (5.40659,59.9818)

9571 : (x,y) = (4.43488,59.7457)

9572 : (x,y) = (3.7299,59.0365)

9573 : (x,y) = (2.95764,58.4011)

9574 : (x,y) = (2.00579,58.7077)

9575 : (x,y) = (1.17021,59.2571)

9576 : (x,y) = (0.778588,58.3369)

9577 : (x,y) = (0.958401,59.3206)

9578 : (x,y) = (0.497328,60.208)

9579 : (x,y) = (0.914922,61.1166)

9580 : (x,y) = (1.74586,61.673)

9581 : (x,y) = (0.774905,61.9123)

9582 : (x,y) = (0.227547,62.7492)

9583 : (x,y) = (0.404226,61.7649)

9584 : (x,y) = (0.53465,62.7563)

9585 : (x,y) = (-0.443712,62.5494)

9586 : (x,y) = (-0.661164,63.5255)

9587 : (x,y) = (0.338836,63.5255)

9588 : (x,y) = (-0.00331409,64.4652)

9589 : (x,y) = (-0.89416,64.9195)

9590 : (x,y) = (-1.88551,65.0507)

9591 : (x,y) = (-2.02427,66.041)

9592 : (x,y) = (-1.56178,66.9276)

9593 : (x,y) = (-1.09327,66.0442)

9594 : (x,y) = (-0.615939,65.1654)

9595 : (x,y) = (-1.60447,65.3165)

9596 : (x,y) = (-1.72339,66.3094)

9597 : (x,y) = (-0.781705,65.9729)

9598 : (x,y) = (-1.61353,65.4178)

9599 : (x,y) = (-1.04001,66.237)

9600 : (x,y) = (-1.57897,67.0794)

9601 : (x,y) = (-2.17553,67.8819)

9602 : (x,y) = (-2.69171,67.0255)

9603 : (x,y) = (-2.89272,66.0459)

9604 : (x,y) = (-3.53877,65.2826)

9605 : (x,y) = (-4.53544,65.3641)

9606 : (x,y) = (-4.92412,66.2854)

9607 : (x,y) = (-3.98475,66.6283)

9608 : (x,y) = (-3.13919,66.0945)

9609 : (x,y) = (-2.4075,66.7761)

9610 : (x,y) = (-1.41873,66.9255)

9611 : (x,y) = (-1.85585,66.0261)

9612 : (x,y) = (-1.75839,65.0309)

9613 : (x,y) = (-1.47473,64.072)

9614 : (x,y) = (-2.1797,63.3627)

9615 : (x,y) = (-2.76009,64.1771)

9616 : (x,y) = (-2.08757,63.437)

9617 : (x,y) = (-1.08898,63.3838)

9618 : (x,y) = (-0.968481,64.3765)

9619 : (x,y) = (-0.48239,63.5026)

9620 : (x,y) = (-0.741778,62.5369)

9621 : (x,y) = (-1.38016,61.7671)

9622 : (x,y) = (-0.947343,60.8657)

9623 : (x,y) = (-1.91154,60.6005)

9624 : (x,y) = (-0.959204,60.9055)

9625 : (x,y) = (-1.94506,60.7379)

9626 : (x,y) = (-1.40475,61.5794)

9627 : (x,y) = (-2.34009,61.9331)

9628 : (x,y) = (-1.36206,62.1416)

9629 : (x,y) = (-2.19765,62.691)

9630 : (x,y) = (-2.83357,63.4627)

9631 : (x,y) = (-3.80687,63.6922)

9632 : (x,y) = (-4.48292,62.9554)

9633 : (x,y) = (-4.39225,63.9513)

9634 : (x,y) = (-4.67744,64.9097)

9635 : (x,y) = (-4.24176,65.8098)

9636 : (x,y) = (-4.95379,65.1077)

9637 : (x,y) = (-5.16459,64.1302)

9638 : (x,y) = (-4.19647,63.8797)

9639 : (x,y) = (-3.73681,62.9916)

9640 : (x,y) = (-2.77856,63.2775)

9641 : (x,y) = (-1.83252,63.6016)

9642 : (x,y) = (-2.61109,62.974)

9643 : (x,y) = (-1.69003,63.3634)

9644 : (x,y) = (-0.785282,63.7894)

9645 : (x,y) = (-0.697783,62.7932)

9646 : (x,y) = (-1.56481,63.2915)

9647 : (x,y) = (-1.51722,62.2926)

9648 : (x,y) = (-2.41397,61.8501)

9649 : (x,y) = (-3.37732,62.1183)

9650 : (x,y) = (-2.88251,61.2493)

9651 : (x,y) = (-2.13281,60.5876)

9652 : (x,y) = (-2.51521,59.6636)

9653 : (x,y) = (-3.46073,59.9891)

9654 : (x,y) = (-2.95726,59.1251)

9655 : (x,y) = (-2.4339,59.9772)

9656 : (x,y) = (-2.69329,59.0114)

9657 : (x,y) = (-3.01012,58.063)

9658 : (x,y) = (-2.733,59.0238)

9659 : (x,y) = (-3.67182,59.3682)

9660 : (x,y) = (-3.63104,60.3674)

9661 : (x,y) = (-4.44977,60.9415)

9662 : (x,y) = (-4.99979,60.1064)

9663 : (x,y) = (-5.56378,60.9322)

9664 : (x,y) = (-6.06863,61.7954)

9665 : (x,y) = (-6.80817,61.1223)

9666 : (x,y) = (-7.73247,61.5039)

9667 : (x,y) = (-7.28171,60.6113)

9668 : (x,y) = (-7.38392,59.6165)

9669 : (x,y) = (-6.64088,58.9473)

9670 : (x,y) = (-7.08411,59.8437)

9671 : (x,y) = (-6.09435,59.701)

9672 : (x,y) = (-6.64437,58.8658)

9673 : (x,y) = (-5.76678,59.3453)

9674 : (x,y) = (-5.09191,60.0832)

9675 : (x,y) = (-5.62242,60.9309)

9676 : (x,y) = (-4.63128,60.7981)

9677 : (x,y) = (-5.12154,59.9265)

9678 : (x,y) = (-5.59146,60.8092)

9679 : (x,y) = (-4.61006,60.6172)

9680 : (x,y) = (-3.80987,60.0175)

9681 : (x,y) = (-3.135,60.7554)

9682 : (x,y) = (-2.40548,60.0714)

9683 : (x,y) = (-1.87632,59.2229)

9684 : (x,y) = (-2.82914,58.9194)

9685 : (x,y) = (-2.96114,57.9281)

9686 : (x,y) = (-1.98311,58.1366)

9687 : (x,y) = (-2.9264,57.8046)

9688 : (x,y) = (-2.0845,58.3442)

9689 : (x,y) = (-1.817,59.3078)

9690 : (x,y) = (-2.7838,59.0522)

9691 : (x,y) = (-3.32276,59.8946)

9692 : (x,y) = (-3.59835,60.8559)

9693 : (x,y) = (-2.61695,60.6639)

9694 : (x,y) = (-2.98713,61.5928)

9695 : (x,y) = (-3.71087,62.2829)

9696 : (x,y) = (-4.34152,61.5068)

9697 : (x,y) = (-4.22418,60.5137)

9698 : (x,y) = (-4.06722,59.5261)

9699 : (x,y) = (-4.25529,60.5083)

9700 : (x,y) = (-4.68051,61.4134)

9701 : (x,y) = (-5.01625,60.4714)

9702 : (x,y) = (-5.79908,61.0937)

9703 : (x,y) = (-5.82147,60.0939)

9704 : (x,y) = (-4.90041,60.4833)

9705 : (x,y) = (-5.79717,60.0408)

9706 : (x,y) = (-4.8074,59.8981)

9707 : (x,y) = (-4.74982,58.8998)

9708 : (x,y) = (-5.1107,59.8324)

9709 : (x,y) = (-6.01612,59.4079)

9710 : (x,y) = (-6.92575,58.9925)

9711 : (x,y) = (-7.90345,59.2025)

9712 : (x,y) = (-8.31339,58.2904)

9713 : (x,y) = (-7.5132,57.6906)

9714 : (x,y) = (-7.92023,58.604)

9715 : (x,y) = (-8.01928,59.5991)

9716 : (x,y) = (-8.51546,60.4673)

9717 : (x,y) = (-9.50924,60.5787)

9718 : (x,y) = (-9.74927,59.6079)

9719 : (x,y) = (-9.59231,58.6203)

9720 : (x,y) = (-8.69186,59.0553)

9721 : (x,y) = (-7.76438,58.6814)

9722 : (x,y) = (-8.39256,59.4595)

9723 : (x,y) = (-9.2879,59.9049)

9724 : (x,y) = (-8.32498,59.6351)

9725 : (x,y) = (-7.33218,59.7548)

9726 : (x,y) = (-8.07629,60.4228)

9727 : (x,y) = (-7.15138,60.803)

9728 : (x,y) = (-6.18499,61.0601)

9729 : (x,y) = (-6.82337,60.2904)

9730 : (x,y) = (-7.82166,60.232)

9731 : (x,y) = (-8.80002,60.0251)

9732 : (x,y) = (-9.58285,60.6473)

9733 : (x,y) = (-9.69501,59.6536)

9734 : (x,y) = (-8.74577,59.9682)

9735 : (x,y) = (-8.25097,59.0992)

9736 : (x,y) = (-7.56378,58.3727)

9737 : (x,y) = (-7.46632,57.3775)

9738 : (x,y) = (-7.89442,56.4738)

9739 : (x,y) = (-6.95965,56.1185)

9740 : (x,y) = (-7.86372,56.5459)

9741 : (x,y) = (-6.92895,56.1906)

9742 : (x,y) = (-6.21326,55.4922)

9743 : (x,y) = (-5.73594,54.6135)

9744 : (x,y) = (-6.04327,53.6619)

9745 : (x,y) = (-5.09504,53.3443)

9746 : (x,y) = (-4.15914,53.6966)

9747 : (x,y) = (-4.33739,54.6806)

9748 : (x,y) = (-3.4762,54.1723)

9749 : (x,y) = (-2.54872,53.7984)

9750 : (x,y) = (-1.59047,54.0843)

9751 : (x,y) = (-2.58564,53.9861)

9752 : (x,y) = (-2.08807,54.8535)

9753 : (x,y) = (-3.06576,55.0635)

9754 : (x,y) = (-2.63008,55.9636)

9755 : (x,y) = (-2.18827,55.0665)

9756 : (x,y) = (-2.69587,54.2049)

9757 : (x,y) = (-1.76839,53.8311)

9758 : (x,y) = (-1.33271,54.7312)

9759 : (x,y) = (-0.39681,55.0834)

9760 : (x,y) = (-0.27947,54.0903)

9761 : (x,y) = (0.696428,54.3086)

9762 : (x,y) = (0.013043,53.5785)

9763 : (x,y) = (-0.586067,52.7778)

9764 : (x,y) = (-0.9029,51.8294)

9765 : (x,y) = (-0.201321,51.1168)

9766 : (x,y) = (-1.02756,50.5534)

9767 : (x,y) = (-0.1767,50.028)

9768 : (x,y) = (0.0780713,49.061)

9769 : (x,y) = (-0.854831,48.7009)

9770 : (x,y) = (-1.76446,48.2855)

9771 : (x,y) = (-0.803404,48.5618)

9772 : (x,y) = (-1.75314,48.2488)

9773 : (x,y) = (-2.46994,48.9461)

9774 : (x,y) = (-2.3526,47.953)

9775 : (x,y) = (-3.29813,48.2785)

9776 : (x,y) = (-2.29893,48.3185)

9777 : (x,y) = (-1.75862,49.16)

9778 : (x,y) = (-0.759173,49.1268)

9779 : (x,y) = (-0.323491,50.0269)

9780 : (x,y) = (0.0107469,50.9694)

9781 : (x,y) = (-0.0815107,49.9737)

9782 : (x,y) = (0.804009,49.5091)

9783 : (x,y) = (0.721713,48.5125)

9784 : (x,y) = (0.504261,49.4885)

9785 : (x,y) = (1.4881,49.6676)

9786 : (x,y) = (2.09139,48.87)

9787 : (x,y) = (1.13558,48.576)

9788 : (x,y) = (1.27591,49.5661)

9789 : (x,y) = (2.27498,49.523)

9790 : (x,y) = (2.03496,48.5522)

9791 : (x,y) = (1.47661,47.7226)

9792 : (x,y) = (0.487606,47.5747)

9793 : (x,y) = (1.38805,48.0097)

9794 : (x,y) = (1.15112,48.9812)

9795 : (x,y) = (2.10346,49.2863)

9796 : (x,y) = (1.48845,48.4977)

9797 : (x,y) = (1.63868,49.4864)

9798 : (x,y) = (0.868449,50.1242)

9799 : (x,y) = (0.975853,49.1299)

9800 : (x,y) = (1.42661,48.2373)

9801 : (x,y) = (1.86229,49.1374)

9802 : (x,y) = (1.3547,48.2758)

9803 : (x,y) = (2.30293,47.9582)

9804 : (x,y) = (3.11495,47.3746)

9805 : (x,y) = (2.11979,47.2763)

9806 : (x,y) = (1.5127,46.4817)

9807 : (x,y) = (2.053,47.3232)

9808 : (x,y) = (2.99128,46.9773)

9809 : (x,y) = (2.95209,47.9765)

9810 : (x,y) = (3.7213,47.3375)

9811 : (x,y) = (2.72717,47.2293)

9812 : (x,y) = (2.02932,46.5131)

9813 : (x,y) = (1.33147,45.7968)

9814 : (x,y) = (2.33067,45.8368)

9815 : (x,y) = (1.41292,45.4397)

9816 : (x,y) = (2.40652,45.3267)

9817 : (x,y) = (1.75529,46.0856)

9818 : (x,y) = (2.3744,45.3003)

9819 : (x,y) = (1.38027,45.1921)

9820 : (x,y) = (1.84879,44.3087)

9821 : (x,y) = (0.919535,43.9392)

9822 : (x,y) = (1.05671,42.9487)

9823 : (x,y) = (0.161368,43.3941)

9824 : (x,y) = (1.08118,43.0017)

9825 : (x,y) = (1.91035,42.4427)

9826 : (x,y) = (2.07718,41.4567)

9827 : (x,y) = (1.79852,40.4963)

9828 : (x,y) = (2.79353,40.5962)

9829 : (x,y) = (1.79868,40.6976)

9830 : (x,y) = (1.37964,39.7896)

9831 : (x,y) = (1.91995,40.6311)

9832 : (x,y) = (2.73197,40.0475)

9833 : (x,y) = (3.67134,40.3903)

9834 : (x,y) = (3.87747,39.4118)

9835 : (x,y) = (3.86826,40.4118)

9836 : (x,y) = (4.72079,40.9345)

9837 : (x,y) = (4.83813,39.9414)

9838 : (x,y) = (4.09858,39.2683)

9839 : (x,y) = (3.17815,39.6591)

9840 : (x,y) = (2.26571,40.0684)

9841 : (x,y) = (1.29719,40.3173)

9842 : (x,y) = (0.414108,39.8481)

9843 : (x,y) = (1.38777,40.0761)

9844 : (x,y) = (2.36514,39.8645)

9845 : (x,y) = (3.33571,39.6237)

9846 : (x,y) = (3.88174,38.7859)

9847 : (x,y) = (3.00822,38.2991)

9848 : (x,y) = (3.88427,37.8169)

9849 : (x,y) = (2.90196,37.6296)

9850 : (x,y) = (2.32158,38.444)

9851 : (x,y) = (3.31658,38.5438)

9852 : (x,y) = (2.31744,38.5854)

9853 : (x,y) = (2.29824,39.5852)

9854 : (x,y) = (1.85216,38.6902)

9855 : (x,y) = (1.81977,37.6907)

9856 : (x,y) = (2.62187,38.2879)

9857 : (x,y) = (2.03079,37.4813)

9858 : (x,y) = (1.321,38.1857)

9859 : (x,y) = (0.804818,37.3292)

9860 : (x,y) = (0.0454188,36.6786)

9861 : (x,y) = (-0.93013,36.8984)

9862 : (x,y) = (-1.35535,37.8035)

9863 : (x,y) = (-2.34913,37.9149)

9864 : (x,y) = (-1.61281,37.2382)

9865 : (x,y) = (-2.4484,37.7876)

9866 : (x,y) = (-3.42464,37.5709)

9867 : (x,y) = (-2.58818,38.1189)

9868 : (x,y) = (-3.53147,37.7869)

9869 : (x,y) = (-4.52727,37.8784)

9870 : (x,y) = (-5.4369,37.463)

9871 : (x,y) = (-4.56572,36.972)

9872 : (x,y) = (-4.31754,37.9407)

9873 : (x,y) = (-4.79027,37.0595)

9874 : (x,y) = (-4.66301,36.0677)

9875 : (x,y) = (-5.61583,35.7641)

9876 : (x,y) = (-5.54509,36.7616)

9877 : (x,y) = (-4.87022,37.4995)

9878 : (x,y) = (-4.21263,36.7462)

9879 : (x,y) = (-5.17861,37.0048)

9880 : (x,y) = (-5.53312,36.0697)

9881 : (x,y) = (-5.24945,35.1108)

9882 : (x,y) = (-4.44736,35.708)

9883 : (x,y) = (-4.8573,34.7959)

9884 : (x,y) = (-4.01004,35.3271)

9885 : (x,y) = (-4.70789,34.6108)

9886 : (x,y) = (-3.71135,34.5277)

9887 : (x,y) = (-3.43729,33.566)

9888 : (x,y) = (-4.43495,33.4977)

9889 : (x,y) = (-3.43841,33.4146)

9890 : (x,y) = (-2.77332,32.6678)

9891 : (x,y) = (-2.50889,31.7034)

9892 : (x,y) = (-3.26175,31.0452)

9893 : (x,y) = (-2.28168,31.2439)

9894 : (x,y) = (-2.7188,30.3445)

9895 : (x,y) = (-3.57733,29.8317)

9896 : (x,y) = (-3.69625,30.8246)

9897 : (x,y) = (-3.16709,29.9761)

9898 : (x,y) = (-3.96823,30.5746)

9899 : (x,y) = (-2.97994,30.422)

9900 : (x,y) = (-3.29375,31.3715)

9901 : (x,y) = (-4.18001,31.8347)

9902 : (x,y) = (-4.289,32.8287)

9903 : (x,y) = (-3.29923,32.686)

9904 : (x,y) = (-4.15258,32.1647)

9905 : (x,y) = (-3.36876,32.7857)

9906 : (x,y) = (-2.77093,33.5873)

9907 : (x,y) = (-2.04829,32.8961)

9908 : (x,y) = (-2.92026,33.3856)

9909 : (x,y) = (-2.42545,32.5166)

9910 : (x,y) = (-1.53082,32.0698)

9911 : (x,y) = (-1.33137,33.0497)

9912 : (x,y) = (-0.886707,33.9454)

9913 : (x,y) = (-0.909094,32.9457)

9914 : (x,y) = (-1.76762,32.4329)

9915 : (x,y) = (-2.63465,32.9312)

9916 : (x,y) = (-3.41122,33.5612)

9917 : (x,y) = (-2.98744,32.6554)

9918 : (x,y) = (-3.9867,32.617)

9919 : (x,y) = (-3.74823,33.5882)

9920 : (x,y) = (-4.30657,32.7586)

9921 : (x,y) = (-4.01029,33.7137)

9922 : (x,y) = (-3.55063,32.8256)

9923 : (x,y) = (-4.42415,32.3388)

9924 : (x,y) = (-3.77413,31.5789)

9925 : (x,y) = (-2.7744,31.5557)

9926 : (x,y) = (-1.92884,31.0218)

9927 : (x,y) = (-0.983837,30.6948)

9928 : (x,y) = (-1.9836,30.7164)

9929 : (x,y) = (-2.13225,31.7053)

9930 : (x,y) = (-3.10995,31.9153)

9931 : (x,y) = (-4.10373,32.0266)

9932 : (x,y) = (-3.10573,31.9635)

9933 : (x,y) = (-2.21109,31.5167)

9934 : (x,y) = (-2.91381,32.2282)

9935 : (x,y) = (-3.43582,33.0811)

9936 : (x,y) = (-2.92959,33.9435)

9937 : (x,y) = (-2.55793,34.8719)

9938 : (x,y) = (-3.21672,35.6242)

9939 : (x,y) = (-2.41462,36.2214)

9940 : (x,y) = (-3.19746,36.8436)

9941 : (x,y) = (-2.20091,36.7605)

9942 : (x,y) = (-1.26264,36.4147)

9943 : (x,y) = (-1.74137,37.2926)

9944 : (x,y) = (-1.32377,38.2013)

9945 : (x,y) = (-2.29932,38.421)

9946 : (x,y) = (-2.58756,37.4635)

9947 : (x,y) = (-2.91085,38.4098)

9948 : (x,y) = (-3.26238,39.346)

9949 : (x,y) = (-4.19163,38.9765)

9950 : (x,y) = (-5.15498,39.2448)

9951 : (x,y) = (-4.30245,39.7675)

9952 : (x,y) = (-5.18404,40.2395)

9953 : (x,y) = (-4.19899,40.0672)

9954 : (x,y) = (-3.20099,40.004)

9955 : (x,y) = (-2.6523,40.8401)

9956 : (x,y) = (-3.54906,40.3975)

9957 : (x,y) = (-3.54145,39.3976)

9958 : (x,y) = (-3.86775,38.4523)

9959 : (x,y) = (-3.27247,37.6488)

9960 : (x,y) = (-3.28486,36.6489)

9961 : (x,y) = (-2.60999,37.3868)

9962 : (x,y) = (-2.22277,36.4648)

9963 : (x,y) = (-3.16933,36.1423)

9964 : (x,y) = (-3.69405,35.291)

9965 : (x,y) = (-2.80393,34.8353)

9966 : (x,y) = (-1.83335,34.5945)

9967 : (x,y) = (-0.836028,34.5214)

9968 : (x,y) = (-1.4271,33.7147)

9969 : (x,y) = (-1.80655,34.6399)

9970 : (x,y) = (-2.64759,35.1809)

9971 : (x,y) = (-2.95189,36.1335)

9972 : (x,y) = (-2.03477,36.5321)

9973 : (x,y) = (-1.24478,37.1452)

9974 : (x,y) = (-1.42616,36.1618)

9975 : (x,y) = (-2.39547,35.9159)

9976 : (x,y) = (-3.1075,35.2138)

9977 : (x,y) = (-2.19038,35.6124)

9978 : (x,y) = (-1.23213,35.8984)

9979 : (x,y) = (-0.261557,35.6576)

9980 : (x,y) = (0.206959,34.7741)

9981 : (x,y) = (1.1981,34.6413)

9982 : (x,y) = (0.355344,34.103)

9983 : (x,y) = (-0.0698748,35.0081)

9984 : (x,y) = (-0.574721,35.8713)

9985 : (x,y) = (-0.831032,36.8379)

9986 : (x,y) = (-1.71729,37.3011)

9987 : (x,y) = (-0.886349,37.8575)

9988 : (x,y) = (-1.40836,38.7104)

9989 : (x,y) = (-1.59643,39.6926)

9990 : (x,y) = (-0.974825,40.4759)

9991 : (x,y) = (-0.00591209,40.7233)

9992 : (x,y) = (-0.469809,39.8374)

9993 : (x,y) = (0.195279,39.0906)

9994 : (x,y) = (-0.500285,39.8091)

9995 : (x,y) = (0.483559,39.9881)

9996 : (x,y) = (-0.466176,39.6751)

9997 : (x,y) = (0.292186,40.3269)

9998 : (x,y) = (0.763514,41.2089)

9999 : (x,y) = (-0.176404,40.8675)

10000 : (x,y) = (0.0620724,41.8386)

10001 : (x,y) = (0.843912,41.2151)

10002 : (x,y) = (1.76103,41.6138)

10003 : (x,y) = (2.12973,40.6842)

10004 : (x,y) = (2.54733,41.5928)

10005 : (x,y) = (2.96203,40.6829)

10006 : (x,y) = (2.42038,39.8423)

10007 : (x,y) = (1.54686,39.3555)

10008 : (x,y) = (2.30965,38.7088)

10009 : (x,y) = (2.63143,37.762)

10010 : (x,y) = (3.04903,38.6707)

10011 : (x,y) = (2.89049,39.658)

10012 : (x,y) = (1.98219,40.0763)

10013 : (x,y) = (2.53922,40.9068)

10014 : (x,y) = (3.42155,41.3775)

10015 : (x,y) = (2.66869,40.7193)

10016 : (x,y) = (3.27992,39.9278)

10017 : (x,y) = (3.73958,39.0397)

10018 : (x,y) = (4.27988,39.8812)

10019 : (x,y) = (5.248,39.6307)

10020 : (x,y) = (4.39631,40.1547)

10021 : (x,y) = (5.37771,39.9628)

10022 : (x,y) = (4.52961,39.4329)

10023 : (x,y) = (5.25225,38.7417)

10024 : (x,y) = (4.49492,39.3947)

10025 : (x,y) = (5.26414,38.7557)

10026 : (x,y) = (4.71678,39.5926)

10027 : (x,y) = (4.75438,38.5933)

10028 : (x,y) = (5.60524,38.0679)

10029 : (x,y) = (4.77341,37.5129)

10030 : (x,y) = (5.03126,38.4791)

10031 : (x,y) = (4.04595,38.6498)

10032 : (x,y) = (4.20291,37.6622)

10033 : (x,y) = (5.18675,37.8413)

10034 : (x,y) = (4.24123,38.1668)

10035 : (x,y) = (5.23099,38.0241)

10036 : (x,y) = (5.87338,37.2577)

10037 : (x,y) = (6.86806,37.1547)

10038 : (x,y) = (7.53315,36.408)

10039 : (x,y) = (6.87951,35.6512)

10040 : (x,y) = (6.66205,36.6272)

10041 : (x,y) = (7.63499,36.3962)

10042 : (x,y) = (7.05201,35.5837)

10043 : (x,y) = (7.18919,34.5931)

10044 : (x,y) = (7.77087,35.4065)

10045 : (x,y) = (7.77848,34.4066)

10046 : (x,y) = (7.27364,35.2698)

10047 : (x,y) = (8.23097,34.9808)

10048 : (x,y) = (7.54262,35.7062)

10049 : (x,y) = (7.50025,34.7071)

10050 : (x,y) = (7.71925,35.6828)

10051 : (x,y) = (6.85564,35.1786)

10052 : (x,y) = (5.9603,35.624)

10053 : (x,y) = (6.55008,36.4316)

10054 : (x,y) = (6.4411,37.4256)

10055 : (x,y) = (5.48828,37.1221)

10056 : (x,y) = (5.66809,38.1058)

10057 : (x,y) = (6.13661,37.2223)

10058 : (x,y) = (5.35804,36.5948)

10059 : (x,y) = (5.8872,35.7462)

10060 : (x,y) = (6.88115,35.856)

10061 : (x,y) = (6.0278,35.3347)

10062 : (x,y) = (6.55966,36.1815)

10063 : (x,y) = (6.89089,35.238)

10064 : (x,y) = (7.22513,36.1805)

10065 : (x,y) = (7.9,36.9184)

10066 : (x,y) = (8.9,36.9184)

10067 : (x,y) = (8.08705,37.5007)

10068 : (x,y) = (8.11784,38.5002)

10069 : (x,y) = (8.80503,37.7738)

10070 : (x,y) = (9.48492,37.0405)

10071 : (x,y) = (8.49591,36.8926)

10072 : (x,y) = (9.43181,37.2449)

10073 : (x,y) = (9.99711,38.0697)

10074 : (x,y) = (9.52719,38.9525)

10075 : (x,y) = (8.68443,38.4142)

10076 : (x,y) = (7.68446,38.4058)

10077 : (x,y) = (7.13444,37.5706)

10078 : (x,y) = (6.5928,36.73)

10079 : (x,y) = (6.26006,37.673)

10080 : (x,y) = (6.17777,36.6764)

10081 : (x,y) = (6.92081,36.0072)

10082 : (x,y) = (7.68566,36.6514)

10083 : (x,y) = (6.97362,35.9492)

10084 : (x,y) = (7.95563,36.1381)

10085 : (x,y) = (8.82681,35.6471)

10086 : (x,y) = (7.84706,35.8474)

10087 : (x,y) = (7.42802,34.9394)

10088 : (x,y) = (6.42876,34.901)

10089 : (x,y) = (6.74106,33.951)

10090 : (x,y) = (7.32827,33.1416)

10091 : (x,y) = (8.20432,32.6594)

10092 : (x,y) = (7.66536,33.5017)

10093 : (x,y) = (6.9843,34.2339)

10094 : (x,y) = (7.76614,33.6105)

10095 : (x,y) = (8.51585,32.9487)

10096 : (x,y) = (9.12167,33.7443)

10097 : (x,y) = (8.13811,33.9249)

10098 : (x,y) = (9.11754,33.7231)

10099 : (x,y) = (9.76756,32.9632)

10100 : (x,y) = (8.76889,33.0147)

10101 : (x,y) = (9.44141,32.2747)

10102 : (x,y) = (10.2761,31.724)

10103 : (x,y) = (10.9337,30.9706)

10104 : (x,y) = (10.8216,29.9769)

10105 : (x,y) = (11.8198,30.0369)

10106 : (x,y) = (12.7557,30.3891)

10107 : (x,y) = (13.4783,29.6979)

10108 : (x,y) = (14.3185,29.1556)

10109 : (x,y) = (15.0682,28.4938)

10110 : (x,y) = (14.2363,27.9388)

10111 : (x,y) = (14.1143,26.9463)

10112 : (x,y) = (14.022,25.9505)

10113 : (x,y) = (14.9532,25.586)

10114 : (x,y) = (15.4594,26.4484)

10115 : (x,y) = (16.4574,26.3852)

10116 : (x,y) = (16.4582,27.3852)

10117 : (x,y) = (15.5766,27.8572)

10118 : (x,y) = (16.4444,28.3541)

10119 : (x,y) = (15.4682,28.1375)

10120 : (x,y) = (16.066,28.9391)

10121 : (x,y) = (16.0668,29.9391)

10122 : (x,y) = (16.9296,30.4446)

10123 : (x,y) = (17.3893,29.5565)

10124 : (x,y) = (16.4396,29.2435)

10125 : (x,y) = (17.4307,29.1107)

10126 : (x,y) = (17.7525,28.1639)

10127 : (x,y) = (18.7189,28.4209)

10128 : (x,y) = (18.402,27.4725)

10129 : (x,y) = (19.3994,27.3993)

10130 : (x,y) = (20.2802,26.9259)

10131 : (x,y) = (20.9527,26.1858)

10132 : (x,y) = (21.9208,25.9353)

10133 : (x,y) = (22.058,24.9448)

10134 : (x,y) = (22.436,24.019)

10135 : (x,y) = (22.3537,23.0224)

10136 : (x,y) = (22.021,23.9654)

10137 : (x,y) = (22.7104,24.6897)

10138 : (x,y) = (23.2565,23.8519)

10139 : (x,y) = (22.2565,23.8435)

10140 : (x,y) = (21.281,24.0633)

10141 : (x,y) = (22.2546,24.2913)

10142 : (x,y) = (23.1355,23.8178)

10143 : (x,y) = (22.4971,23.0481)

10144 : (x,y) = (22.4479,24.0469)

10145 : (x,y) = (23.2317,24.6679)

10146 : (x,y) = (23.8189,23.8584)

10147 : (x,y) = (24.4864,24.6031)

10148 : (x,y) = (25.4346,24.2855)

10149 : (x,y) = (26.3293,23.8387)

10150 : (x,y) = (25.353,23.622)

10151 : (x,y) = (26.353,23.632)

10152 : (x,y) = (25.9891,22.7006)

10153 : (x,y) = (26.4219,21.7991)

10154 : (x,y) = (25.839,20.9866)

10155 : (x,y) = (24.8657,21.2161)

10156 : (x,y) = (23.868,21.1478)

10157 : (x,y) = (23.079,21.7621)

10158 : (x,y) = (22.7907,20.8046)

10159 : (x,y) = (23.7368,21.1286)

10160 : (x,y) = (22.819,20.7315)

10161 : (x,y) = (23.5299,21.4348)

10162 : (x,y) = (22.6835,21.9673)

